:START_ID,has,:END_ID,:TYPE
c10002,has,m850,HAS
c10002,has,m851,HAS
c10002,has,m852,HAS
c10002,has,m853,HAS
c10002,has,m854,HAS
c10002,has,m855,HAS
c10002,has,m856,HAS
c10002,has,m857,HAS
c10002,has,m858,HAS
c10002,has,m859,HAS
c10002,has,m860,HAS
c10002,has,m861,HAS
c10002,has,m862,HAS
c10002,has,m863,HAS
c10002,has,m864,HAS
c10002,has,m865,HAS
c10002,has,m866,HAS
c10002,has,m867,HAS
c10002,has,m868,HAS
c10002,has,m869,HAS
c10002,has,m870,HAS
c10002,has,m871,HAS
c10002,has,m872,HAS
c10002,has,m873,HAS
c10002,has,m874,HAS
c10002,has,m875,HAS
c10002,has,m876,HAS
c10002,has,m877,HAS
c10002,has,m878,HAS
c10002,has,m879,HAS
c10002,has,m880,HAS
c10002,has,m881,HAS
c10002,has,m882,HAS
c10002,has,m883,HAS
c10002,has,m884,HAS
c10002,has,m885,HAS
c10002,has,m886,HAS
c10002,has,m887,HAS
c10002,has,m888,HAS
c10002,has,m889,HAS
c10002,has,m890,HAS
c10002,has,m891,HAS
c10002,has,m892,HAS
c10002,has,m893,HAS
c10002,has,m894,HAS
c10002,has,m895,HAS
c10002,has,m896,HAS
c10002,has,m897,HAS
c10002,has,m898,HAS
c10002,has,m899,HAS
c10002,has,m900,HAS
c10002,has,m901,HAS
c10002,has,m902,HAS
c10002,has,m903,HAS
c10002,has,m904,HAS
c10002,has,m905,HAS
c10002,has,m906,HAS
c10002,has,m907,HAS
c10002,has,m908,HAS
c10002,has,m909,HAS
c10002,has,m910,HAS
c10002,has,m911,HAS
c10002,has,m912,HAS
c10002,has,m913,HAS
c10002,has,m914,HAS
c10002,has,m915,HAS
c10002,has,m916,HAS
c10002,has,m917,HAS
c10002,has,m918,HAS
c10002,has,m919,HAS
c10002,has,m920,HAS
c10002,has,m921,HAS
c10002,has,m922,HAS
c10002,has,m923,HAS
c10002,has,m924,HAS
c10002,has,m925,HAS
c10002,has,m926,HAS
c10002,has,m927,HAS
c10002,has,m928,HAS
c10002,has,m929,HAS
c10002,has,m930,HAS
c10002,has,m931,HAS
c10002,has,m932,HAS
c10002,has,m933,HAS
c10002,has,m934,HAS
c10002,has,m935,HAS
c10002,has,m936,HAS
c10002,has,m937,HAS
c10002,has,m938,HAS
c10002,has,m939,HAS
c10002,has,m940,HAS
c10002,has,m941,HAS
c10002,has,m942,HAS
c10002,has,m943,HAS
c10002,has,m944,HAS
c10002,has,m945,HAS
c10002,has,m946,HAS
c10002,has,m947,HAS
c10002,has,m948,HAS
c10002,has,m949,HAS
c10002,has,m950,HAS
c10002,has,m951,HAS
c10002,has,m952,HAS
c10002,has,m953,HAS
c10002,has,m954,HAS
c10002,has,m955,HAS
c10002,has,m956,HAS
c10002,has,m957,HAS
c10002,has,m958,HAS
c10002,has,m959,HAS
c10002,has,m960,HAS
c10002,has,m961,HAS
c10002,has,m962,HAS
c10002,has,m963,HAS
c10002,has,m964,HAS
c10002,has,m965,HAS
c10002,has,m966,HAS
c10002,has,m967,HAS
c10002,has,m968,HAS
c10002,has,m969,HAS
c10002,has,m970,HAS
c10002,has,m971,HAS
c10002,has,m972,HAS
c10002,has,m973,HAS
c10002,has,m974,HAS
c10002,has,m975,HAS
c10002,has,m976,HAS
c10002,has,m977,HAS
c10002,has,m978,HAS
c10002,has,m979,HAS
c10002,has,m980,HAS
c10002,has,m981,HAS
c10002,has,m982,HAS
c10002,has,m983,HAS
c10002,has,m984,HAS
c10002,has,m985,HAS
c10002,has,m986,HAS
c10002,has,m987,HAS
c10002,has,m988,HAS
c10002,has,m989,HAS
c10002,has,m990,HAS
c10002,has,m991,HAS
c10002,has,m992,HAS
c10002,has,m993,HAS
c10002,has,m994,HAS
c10002,has,m995,HAS
c10002,has,m996,HAS
c10002,has,m997,HAS
c10002,has,m998,HAS
c10002,has,m999,HAS
c10002,has,m1000,HAS
c10002,has,m1001,HAS
c10002,has,m1002,HAS
c10002,has,m1003,HAS
c10002,has,m1004,HAS
c10002,has,m1005,HAS
c10002,has,m1006,HAS
c10002,has,m1007,HAS
c10002,has,m1008,HAS
c10002,has,m1009,HAS
c10002,has,m1010,HAS
c10002,has,m1011,HAS
c10002,has,m1012,HAS
c10002,has,m1013,HAS
c10002,has,m1014,HAS
c10002,has,m1015,HAS
c10002,has,m1016,HAS
c10002,has,m1017,HAS
c10002,has,m1018,HAS
c10002,has,m1019,HAS
c10002,has,m1020,HAS
c10002,has,m1021,HAS
c10002,has,m1022,HAS
c10002,has,m1023,HAS
c10002,has,m1024,HAS
c10002,has,m1025,HAS
c10002,has,m1026,HAS
c10002,has,m1027,HAS
c10002,has,m1028,HAS
c10002,has,m1029,HAS
c10002,has,m1030,HAS
c10002,has,m1031,HAS
c10002,has,m1032,HAS
c10002,has,m1033,HAS
c10002,has,m1034,HAS
c10002,has,m1035,HAS
c10002,has,m1036,HAS
c10002,has,m1037,HAS
c10002,has,m1038,HAS
c10002,has,m1039,HAS
c10002,has,m1040,HAS
c10002,has,m1041,HAS
c10002,has,m1042,HAS
c10002,has,m1043,HAS
c10002,has,m1044,HAS
c10002,has,m1045,HAS
c10002,has,m1046,HAS
c10002,has,m1047,HAS
c10002,has,m1048,HAS
c10002,has,m1049,HAS
c10002,has,m1050,HAS
c10002,has,m1051,HAS
c10002,has,m1052,HAS
c10002,has,m1053,HAS
c10002,has,m1054,HAS
c10002,has,m1055,HAS
c10002,has,m1056,HAS
c10002,has,m1057,HAS
c10002,has,m1058,HAS
c10002,has,m1059,HAS
c10002,has,m1060,HAS
c10002,has,m1061,HAS
